000000000000000000000000000000000000 -> 0000000
142-SA-0 @000000000000000000000000000000000000 -> 1101111
142-SA-1 @000000000000000000000000000000000000 -> 1101111
142-IN-76-SA-0 @000000000000000000000000000000000000 -> 0000000
142-IN-76-SA-1 @000000000000000000000000000000000000 -> 0000000
143-SA-0 @000000000000000000000000000000000000 -> 0000110
143-SA-1 @000000000000000000000000000000000000 -> 0000000
143-IN-82-SA-0 @000000000000000000000000000000000000 -> 0000000
143-IN-82-SA-1 @000000000000000000000000000000000000 -> 0101111
146-SA-0 @000000000000000000000000000000000000 -> 0101111
146-SA-1 @000000000000000000000000000000000000 -> 0101111
146-IN-89-SA-0 @000000000000000000000000000000000000 -> 0000000
146-IN-89-SA-1 @000000000000000000000000000000000000 -> 0000000
147-SA-0 @000000000000000000000000000000000000 -> 0000110
147-SA-1 @000000000000000000000000000000000000 -> 0000000
147-IN-95-SA-0 @000000000000000000000000000000000000 -> 0000000
147-IN-95-SA-1 @000000000000000000000000000000000000 -> 1001111
150-SA-0 @000000000000000000000000000000000000 -> 1001111
150-SA-1 @000000000000000000000000000000000000 -> 1001111
150-IN-102-SA-0 @000000000000000000000000000000000000 -> 0000000
150-IN-102-SA-1 @000000000000000000000000000000000000 -> 0000000
151-SA-0 @000000000000000000000000000000000000 -> 0000110
151-SA-1 @000000000000000000000000000000000000 -> 0000000
151-IN-108-SA-0 @000000000000000000000000000000000000 -> 0000000
151-IN-108-SA-1 @000000000000000000000000000000000000 -> 0001111
154-SA-0 @000000000000000000000000000000000000 -> 0001111
154-SA-1 @000000000000000000000000000000000000 -> 0001111
154-IN-118-SA-0 @000000000000000000000000000000000000 -> 0000000
154-IN-118-SA-1 @000000000000000000000000000000000000 -> 0000000
154-IN-4-SA-0 @000000000000000000000000000000000000 -> 0000000
154-IN-4-SA-1 @000000000000000000000000000000000000 -> 0000001
157-SA-0 @000000000000000000000000000000000000 -> 0000001
157-SA-1 @000000000000000000000000000000000000 -> 0000011
157-IN-8-SA-0 @000000000000000000000000000000000000 -> 0000000
157-IN-8-SA-1 @000000000000000000000000000000000000 -> 0000000
157-IN-119-SA-0 @000000000000000000000000000000000000 -> 0000110
157-IN-119-SA-1 @000000000000000000000000000000000000 -> 0000000
158-SA-0 @000000000000000000000000000000000000 -> 0000000
158-SA-1 @000000000000000000000000000000000000 -> 0000100
158-IN-14-SA-0 @000000000000000000000000000000000000 -> 0000000
158-IN-14-SA-1 @000000000000000000000000000000000000 -> 0000000
158-IN-119-SA-0 @000000000000000000000000000000000000 -> 0000100
158-IN-119-SA-1 @000000000000000000000000000000000000 -> 0000000
159-SA-0 @000000000000000000000000000000000000 -> 0000001
159-SA-1 @000000000000000000000000000000000000 -> 0000000
159-IN-122-SA-0 @000000000000000000000000000000000000 -> 0000000
159-IN-122-SA-1 @000000000000000000000000000000000000 -> 0000000
159-IN-17-SA-0 @000000000000000000000000000000000000 -> 0000000
159-IN-17-SA-1 @000000000000000000000000000000000000 -> 1111001
162-SA-0 @000000000000000000000000000000000000 -> 1111001
162-SA-1 @000000000000000000000000000000000000 -> 1111001
162-IN-126-SA-0 @000000000000000000000000000000000000 -> 0000000
162-IN-126-SA-1 @000000000000000000000000000000000000 -> 0000000
162-IN-30-SA-0 @000000000000000000000000000000000000 -> 0000000
162-IN-30-SA-1 @000000000000000000000000000000000000 -> 0111001
165-SA-0 @000000000000000000000000000000000000 -> 0111001
165-SA-1 @000000000000000000000000000000000000 -> 0111001
165-IN-130-SA-0 @000000000000000000000000000000000000 -> 0000000
165-IN-130-SA-1 @000000000000000000000000000000000000 -> 0000000
165-IN-43-SA-0 @000000000000000000000000000000000000 -> 0000000
165-IN-43-SA-1 @000000000000000000000000000000000000 -> 1011001
177-IN-146-SA-1 @000000000000000000000000000000000000 -> 0000000
177-IN-95-SA-0 @000000000000000000000000000000000000 -> 0000000
177-IN-95-SA-1 @000000000000000000000000000000000000 -> 1001001
180-SA-0 @000000000000000000000000000000000000 -> 1001001
180-SA-1 @000000000000000000000000000000000000 -> 1001001
180-IN-150-SA-0 @000000000000000000000000000000000000 -> 0000000
180-IN-150-SA-1 @000000000000000000000000000000000000 -> 0000000
180-IN-108-SA-0 @000000000000000000000000000000000000 -> 0000000
180-IN-108-SA-1 @000000000000000000000000000000000000 -> 0001001
183-SA-0 @000000000000000000000000000000000000 -> 0001001
183-SA-1 @000000000000000000000000000000000000 -> 0001001
183-IN-21-SA-0 @000000000000000000000000000000000000 -> 0000000
183-IN-21-SA-1 @000000000000000000000000000000000000 -> 0000000
183-IN-123-SA-0 @000000000000000000000000000000000000 -> 0000110
183-IN-123-SA-1 @000000000000000000000000000000000000 -> 0000000
184-SA-0 @000000000000000000000000000000000000 -> 0000000
184-SA-1 @000000000000000000000000000000000000 -> 0000100
184-IN-27-SA-0 @000000000000000000000000000000000000 -> 0000000
184-IN-27-SA-1 @000000000000000000000000000000000000 -> 0000000
184-IN-123-SA-0 @000000000000000000000000000000000000 -> 0000100
184-IN-123-SA-1 @000000000000000000000000000000000000 -> 0000000
185-SA-0 @000000000000000000000000000000000000 -> 0000000
185-SA-1 @000000000000000000000000000000000000 -> 0000010
185-IN-34-SA-0 @000000000000000000000000000000000000 -> 0000000
185-IN-34-SA-1 @000000000000000000000000000000000000 -> 0000000
185-IN-127-SA-0 @000000000000000000000000000000000000 -> 0000110
185-IN-127-SA-1 @000000000000000000000000000000000000 -> 0000000
186-SA-0 @000000000000000000000000000000000000 -> 0000000
186-SA-1 @000000000000000000000000000000000000 -> 0000100
186-IN-40-SA-0 @000000000000000000000000000000000000 -> 0000000
186-IN-40-SA-1 @000000000000000000000000000000000000 -> 0000000
186-IN-127-SA-0 @000000000000000000000000000000000000 -> 0000100
186-IN-127-SA-1 @000000000000000000000000000000000000 -> 0000000
187-SA-0 @000000000000000000000000000000000000 -> 0000000
187-SA-1 @000000000000000000000000000000000000 -> 0000010
187-IN-47-SA-0 @000000000000000000000000000000000000 -> 0000000
187-IN-47-SA-1 @000000000000000000000000000000000000 -> 0000000
187-IN-131-SA-0 @000000000000000000000000000000000000 -> 0000110
187-IN-131-SA-1 @000000000000000000000000000000000000 -> 0000000
188-SA-0 @000000000000000000000000000000000000 -> 0000000
188-SA-1 @000000000000000000000000000000000000 -> 0000100
188-IN-53-SA-0 @000000000000000000000000000000000000 -> 0000000
188-IN-53-SA-1 @000000000000000000000000000000000000 -> 0000000
188-IN-131-SA-0 @000000000000000000000000000000000000 -> 0000100
188-IN-131-SA-1 @000000000000000000000000000000000000 -> 0000000
189-SA-0 @000000000000000000000000000000000000 -> 0000000
189-SA-1 @000000000000000000000000000000000000 -> 0000010
189-IN-60-SA-0 @000000000000000000000000000000000000 -> 0000000
189-IN-60-SA-1 @000000000000000000000000000000000000 -> 0000000
189-IN-135-SA-0 @000000000000000000000000000000000000 -> 0000110
189-IN-135-SA-1 @000000000000000000000000000000000000 -> 0000000
190-SA-0 @000000000000000000000000000000000000 -> 0000000
190-SA-1 @000000000000000000000000000000000000 -> 0000100
190-IN-66-SA-0 @000000000000000000000000000000000000 -> 0000000
190-IN-66-SA-1 @000000000000000000000000000000000000 -> 0000000
190-IN-135-SA-0 @000000000000000000000000000000000000 -> 0000100
190-IN-135-SA-1 @000000000000000000000000000000000000 -> 0000000
191-SA-0 @000000000000000000000000000000000000 -> 0000000
191-SA-1 @000000000000000000000000000000000000 -> 0000010
191-IN-73-SA-0 @000000000000000000000000000000000000 -> 0000000
191-IN-73-SA-1 @000000000000000000000000000000000000 -> 0000000
191-IN-139-SA-0 @000000000000000000000000000000000000 -> 0000110
191-IN-139-SA-1 @000000000000000000000000000000000000 -> 0000000
192-SA-0 @000000000000000000000000000000000000 -> 0000000
192-SA-1 @000000000000000000000000000000000000 -> 0000100
192-IN-79-SA-0 @000000000000000000000000000000000000 -> 0000000
192-IN-79-SA-1 @000000000000000000000000000000000000 -> 0000000
192-IN-139-SA-0 @000000000000000000000000000000000000 -> 0000100
192-IN-139-SA-1 @000000000000000000000000000000000000 -> 0000000
193-SA-0 @000000000000000000000000000000000000 -> 0000000
193-SA-1 @000000000000000000000000000000000000 -> 0000010
193-IN-86-SA-0 @000000000000000000000000000000000000 -> 0000000
193-IN-86-SA-1 @000000000000000000000000000000000000 -> 0000000
193-IN-143-SA-0 @000000000000000000000000000000000000 -> 0000110
193-IN-143-SA-1 @000000000000000000000000000000000000 -> 0000000
194-SA-0 @000000000000000000000000000000000000 -> 0000000
194-SA-1 @000000000000000000000000000000000000 -> 0000100
194-IN-92-SA-0 @000000000000000000000000000000000000 -> 0000000
198-SA-0 @000000000000000000000000000000000000 -> 0000000
198-SA-1 @000000000000000000000000000000000000 -> 0000100
198-IN-115-SA-0 @000000000000000000000000000000000000 -> 0000000
198-IN-115-SA-1 @000000000000000000000000000000000000 -> 0000000
198-IN-151-SA-0 @000000000000000000000000000000000000 -> 0000100
198-IN-151-SA-1 @000000000000000000000000000000000000 -> 0000000
199-SA-0 @000000000000000000000000000000000000 -> 0000001
199-SA-1 @000000000000000000000000000000000000 -> 0000000
199-IN-154-SA-0 @000000000000000000000000000000000000 -> 0000001
199-IN-154-SA-1 @000000000000000000000000000000000000 -> 0000000
199-IN-159-SA-0 @000000000000000000000000000000000000 -> 0000001
199-IN-159-SA-1 @000000000000000000000000000000000000 -> 0000000
199-IN-162-SA-0 @000000000000000000000000000000000000 -> 0000001
199-IN-162-SA-1 @000000000000000000000000000000000000 -> 0000000
199-IN-165-SA-0 @000000000000000000000000000000000000 -> 0000001
199-IN-165-SA-1 @000000000000000000000000000000000000 -> 0000000
199-IN-168-SA-0 @000000000000000000000000000000000000 -> 0000001
199-IN-168-SA-1 @000000000000000000000000000000000000 -> 0000000
199-IN-171-SA-0 @000000000000000000000000000000000000 -> 0000001
199-IN-171-SA-1 @000000000000000000000000000000000000 -> 0000000
199-IN-174-SA-0 @000000000000000000000000000000000000 -> 0000001
199-IN-174-SA-1 @000000000000000000000000000000000000 -> 0000000
199-IN-177-SA-0 @000000000000000000000000000000000000 -> 0000001
199-IN-177-SA-1 @000000000000000000000000000000000000 -> 0000000
199-IN-180-SA-0 @000000000000000000000000000000000000 -> 0000001
199-IN-180-SA-1 @000000000000000000000000000000000000 -> 0000000
203-SA-0 @000000000000000000000000000000000000 -> 0000000
203-SA-1 @000000000000000000000000000000000000 -> 0000000
203-IN-199-SA-0 @000000000000000000000000000000000000 -> 0000001
203-IN-199-SA-1 @000000000000000000000000000000000000 -> 0000000
213-SA-0 @000000000000000000000000000000000000 -> 0000000
213-SA-1 @000000000000000000000000000000000000 -> 0000000
213-IN-199-SA-0 @000000000000000000000000000000000000 -> 0000001
213-IN-199-SA-1 @000000000000000000000000000000000000 -> 0000000
223-SA-0 @000000000000000000000000000000000000 -> 0000000
223-SA-1 @000000000000000000000000000000000000 -> 0000001
223-IN-199-SA-0 @000000000000000000000000000000000000 -> 0000001
223-IN-199-SA-1 @000000000000000000000000000000000000 -> 0000000
224-SA-0 @000000000000000000000000000000000000 -> 0000000
224-SA-1 @000000000000000000000000000000000000 -> 0000000
224-IN-203-SA-0 @000000000000000000000000000000000000 -> 0000000
224-IN-203-SA-1 @000000000000000000000000000000000000 -> 0000000
224-IN-154-SA-0 @000000000000000000000000000000000000 -> 0000000
224-IN-154-SA-1 @000000000000000000000000000000000000 -> 0000000
227-SA-0 @000000000000000000000000000000000000 -> 0000000
227-SA-1 @000000000000000000000000000000000000 -> 0000000
227-IN-203-SA-0 @000000000000000000000000000000000000 -> 0000000
227-IN-203-SA-1 @000000000000000000000000000000000000 -> 0000000
227-IN-159-SA-0 @000000000000000000000000000000000000 -> 0000000
227-IN-159-SA-1 @000000000000000000000000000000000000 -> 0000000
230-SA-0 @000000000000000000000000000000000000 -> 0000000
230-SA-1 @000000000000000000000000000000000000 -> 0000000
230-IN-203-SA-0 @000000000000000000000000000000000000 -> 0000000
230-IN-203-SA-1 @000000000000000000000000000000000000 -> 0000000
230-IN-162-SA-0 @000000000000000000000000000000000000 -> 0000000
230-IN-162-SA-1 @000000000000000000000000000000000000 -> 0000000
233-SA-0 @000000000000000000000000000000000000 -> 0000000
233-SA-1 @000000000000000000000000000000000000 -> 0000000
233-IN-203-SA-0 @000000000000000000000000000000000000 -> 0000000
233-IN-203-SA-1 @000000000000000000000000000000000000 -> 0000000
233-IN-165-SA-0 @000000000000000000000000000000000000 -> 0000000
233-IN-165-SA-1 @000000000000000000000000000000000000 -> 0000000
236-SA-0 @000000000000000000000000000000000000 -> 0000000
236-SA-1 @000000000000000000000000000000000000 -> 0000000
236-IN-203-SA-0 @000000000000000000000000000000000000 -> 0000000
236-IN-203-SA-1 @000000000000000000000000000000000000 -> 0000000
236-IN-168-SA-0 @000000000000000000000000000000000000 -> 0000000
236-IN-168-SA-1 @000000000000000000000000000000000000 -> 0000000
239-SA-0 @000000000000000000000000000000000000 -> 0000000
239-SA-1 @000000000000000000000000000000000000 -> 0000000
239-IN-203-SA-0 @000000000000000000000000000000000000 -> 0000000
239-IN-203-SA-1 @000000000000000000000000000000000000 -> 0000000
239-IN-171-SA-0 @000000000000000000000000000000000000 -> 0000000
239-IN-171-SA-1 @000000000000000000000000000000000000 -> 0000000
242-SA-0 @000000000000000000000000000000000000 -> 0000000
242-SA-1 @000000000000000000000000000000000000 -> 0000000
242-IN-1-SA-0 @000000000000000000000000000000000000 -> 0000000
242-IN-1-SA-1 @000000000000000000000000000000000000 -> 0000000
242-IN-213-SA-0 @000000000000000000000000000000000000 -> 0000000
242-IN-213-SA-1 @000000000000000000000000000000000000 -> 0000000
243-SA-0 @000000000000000000000000000000000000 -> 0000000
243-SA-1 @000000000000000000000000000000000000 -> 0000000
243-IN-203-SA-0 @000000000000000000000000000000000000 -> 0000000
243-IN-203-SA-1 @000000000000000000000000000000000000 -> 0000000
243-IN-174-SA-0 @000000000000000000000000000000000000 -> 0000000
243-IN-174-SA-1 @000000000000000000000000000000000000 -> 0000000
246-SA-0 @000000000000000000000000000000000000 -> 0000000
246-SA-1 @000000000000000000000000000000000000 -> 0000000
246-IN-213-SA-0 @000000000000000000000000000000000000 -> 0000000
246-IN-213-SA-1 @000000000000000000000000000000000000 -> 0000000
246-IN-11-SA-0 @000000000000000000000000000000000000 -> 0000000
246-IN-11-SA-1 @000000000000000000000000000000000000 -> 0000000
247-SA-0 @000000000000000000000000000000000000 -> 0000000
247-SA-1 @000000000000000000000000000000000000 -> 0000000
247-IN-203-SA-0 @000000000000000000000000000000000000 -> 0000000
247-IN-203-SA-1 @000000000000000000000000000000000000 -> 0000000
247-IN-177-SA-0 @000000000000000000000000000000000000 -> 0000000
247-IN-177-SA-1 @000000000000000000000000000000000000 -> 0000000
250-SA-0 @000000000000000000000000000000000000 -> 0000000
250-SA-1 @000000000000000000000000000000000000 -> 0000000
250-IN-213-SA-0 @000000000000000000000000000000000000 -> 0000000
250-IN-213-SA-1 @000000000000000000000000000000000000 -> 0000000
250-IN-24-SA-0 @000000000000000000000000000000000000 -> 0000000
250-IN-24-SA-1 @000000000000000000000000000000000000 -> 0000000
251-SA-0 @000000000000000000000000000000000000 -> 0000000
251-SA-1 @000000000000000000000000000000000000 -> 0000000
251-IN-203-SA-0 @000000000000000000000000000000000000 -> 0000000
251-IN-203-SA-1 @000000000000000000000000000000000000 -> 0000000
251-IN-180-SA-0 @000000000000000000000000000000000000 -> 0000000
251-IN-180-SA-1 @000000000000000000000000000000000000 -> 0000000
254-SA-0 @000000000000000000000000000000000000 -> 0000000
254-SA-1 @000000000000000000000000000000000000 -> 0000000
254-IN-213-SA-0 @000000000000000000000000000000000000 -> 0000000
254-IN-213-SA-1 @000000000000000000000000000000000000 -> 0000000
254-IN-37-SA-0 @000000000000000000000000000000000000 -> 0000000
254-IN-37-SA-1 @000000000000000000000000000000000000 -> 0000000
255-SA-0 @000000000000000000000000000000000000 -> 0000000
255-SA-1 @000000000000000000000000000000000000 -> 0000000
255-IN-213-SA-0 @000000000000000000000000000000000000 -> 0000000
255-IN-213-SA-1 @000000000000000000000000000000000000 -> 0000000
255-IN-50-SA-0 @000000000000000000000000000000000000 -> 0000000
255-IN-50-SA-1 @000000000000000000000000000000000000 -> 0000000
256-SA-0 @000000000000000000000000000000000000 -> 0000000
256-SA-1 @000000000000000000000000000000000000 -> 0000000
256-IN-213-SA-0 @000000000000000000000000000000000000 -> 0000000
256-IN-213-SA-1 @000000000000000000000000000000000000 -> 0000000
256-IN-63-SA-0 @000000000000000000000000000000000000 -> 0000000
256-IN-63-SA-1 @000000000000000000000000000000000000 -> 0000000
257-SA-0 @000000000000000000000000000000000000 -> 0000000
257-SA-1 @000000000000000000000000000000000000 -> 0000000
257-IN-213-SA-0 @000000000000000000000000000000000000 -> 0000000
257-IN-213-SA-1 @000000000000000000000000000000000000 -> 0000000
257-IN-76-SA-0 @000000000000000000000000000000000000 -> 0000000
257-IN-76-SA-1 @000000000000000000000000000000000000 -> 0000000
258-SA-0 @000000000000000000000000000000000000 -> 0000000
258-SA-1 @000000000000000000000000000000000000 -> 0000000
258-IN-213-SA-0 @000000000000000000000000000000000000 -> 0000000
258-IN-213-SA-1 @000000000000000000000000000000000000 -> 0000000
258-IN-89-SA-0 @000000000000000000000000000000000000 -> 0000000
258-IN-89-SA-1 @000000000000000000000000000000000000 -> 0000000
259-SA-0 @000000000000000000000000000000000000 -> 0000000
259-SA-1 @000000000000000000000000000000000000 -> 0000000
259-IN-213-SA-0 @000000000000000000000000000000000000 -> 0000000
259-IN-213-SA-1 @000000000000000000000000000000000000 -> 0000000
259-IN-102-SA-0 @000000000000000000000000000000000000 -> 0000000
259-IN-102-SA-1 @000000000000000000000000000000000000 -> 0000000
260-SA-0 @000000000000000000000000000000000000 -> 0000010
260-SA-1 @000000000000000000000000000000000000 -> 0000000
260-IN-224-SA-0 @000000000000000000000000000000000000 -> 0000000
260-IN-224-SA-1 @000000000000000000000000000000000000 -> 0000000
260-IN-157-SA-0 @000000000000000000000000000000000000 -> 0000000
260-IN-157-SA-1 @000000000000000000000000000000000000 -> 0000010
263-SA-0 @000000000000000000000000000000000000 -> 0000110
263-SA-1 @000000000000000000000000000000000000 -> 0000010
285-IN-251-SA-0 @000000000000000000000000000000000000 -> 0000000
285-IN-251-SA-1 @000000000000000000000000000000000000 -> 0000000
285-IN-197-SA-0 @000000000000000000000000000000000000 -> 0000000
285-IN-197-SA-1 @000000000000000000000000000000000000 -> 0000010
288-SA-0 @000000000000000000000000000000000000 -> 0000010
288-SA-1 @000000000000000000000000000000000000 -> 0000010
288-IN-227-SA-0 @000000000000000000000000000000000000 -> 0000000
288-IN-227-SA-1 @000000000000000000000000000000000000 -> 0000000
288-IN-184-SA-0 @000000000000000000000000000000000000 -> 0000000
288-IN-184-SA-1 @000000000000000000000000000000000000 -> 0000100
289-SA-0 @000000000000000000000000000000000000 -> 0000100
289-SA-1 @000000000000000000000000000000000000 -> 0000100
289-IN-230-SA-0 @000000000000000000000000000000000000 -> 0000000
289-IN-230-SA-1 @000000000000000000000000000000000000 -> 0000000
289-IN-186-SA-0 @000000000000000000000000000000000000 -> 0000000
289-IN-186-SA-1 @000000000000000000000000000000000000 -> 0000100
290-SA-0 @000000000000000000000000000000000000 -> 0000100
290-SA-1 @000000000000000000000000000000000000 -> 0000100
290-IN-233-SA-0 @000000000000000000000000000000000000 -> 0000000
290-IN-233-SA-1 @000000000000000000000000000000000000 -> 0000000
290-IN-188-SA-0 @000000000000000000000000000000000000 -> 0000000
290-IN-188-SA-1 @000000000000000000000000000000000000 -> 0000100
291-SA-0 @000000000000000000000000000000000000 -> 0000100
291-SA-1 @000000000000000000000000000000000000 -> 0000100
291-IN-236-SA-0 @000000000000000000000000000000000000 -> 0000000
291-IN-236-SA-1 @000000000000000000000000000000000000 -> 0000000
291-IN-190-SA-0 @000000000000000000000000000000000000 -> 0000000
291-IN-190-SA-1 @000000000000000000000000000000000000 -> 0000100
292-SA-0 @000000000000000000000000000000000000 -> 0000100
292-SA-1 @000000000000000000000000000000000000 -> 0000100
292-IN-239-SA-0 @000000000000000000000000000000000000 -> 0000000
292-IN-239-SA-1 @000000000000000000000000000000000000 -> 0000000
292-IN-192-SA-0 @000000000000000000000000000000000000 -> 0000000
292-IN-192-SA-1 @000000000000000000000000000000000000 -> 0000100
293-SA-0 @000000000000000000000000000000000000 -> 0000100
293-SA-1 @000000000000000000000000000000000000 -> 0000100
293-IN-243-SA-0 @000000000000000000000000000000000000 -> 0000000
293-IN-243-SA-1 @000000000000000000000000000000000000 -> 0000000
293-IN-194-SA-0 @000000000000000000000000000000000000 -> 0000000
293-IN-194-SA-1 @000000000000000000000000000000000000 -> 0000100
294-SA-0 @000000000000000000000000000000000000 -> 0000100
294-SA-1 @000000000000000000000000000000000000 -> 0000100
294-IN-247-SA-0 @000000000000000000000000000000000000 -> 0000000
294-IN-247-SA-1 @000000000000000000000000000000000000 -> 0000000
294-IN-196-SA-0 @000000000000000000000000000000000000 -> 0000000
294-IN-196-SA-1 @000000000000000000000000000000000000 -> 0000100
295-SA-0 @000000000000000000000000000000000000 -> 0000100
295-SA-1 @000000000000000000000000000000000000 -> 0000100
295-IN-251-SA-0 @000000000000000000000000000000000000 -> 0000000
295-IN-251-SA-1 @000000000000000000000000000000000000 -> 0000000
295-IN-198-SA-0 @000000000000000000000000000000000000 -> 0000000
295-IN-198-SA-1 @000000000000000000000000000000000000 -> 0000100
296-SA-0 @000000000000000000000000000000000000 -> 0000010
296-SA-1 @000000000000000000000000000000000000 -> 0000100
296-IN-260-SA-0 @000000000000000000000000000000000000 -> 0000010
296-IN-260-SA-1 @000000000000000000000000000000000000 -> 0000000
296-IN-264-SA-0 @000000000000000000000000000000000000 -> 0000010
296-IN-264-SA-1 @000000000000000000000000000000000000 -> 0000000
296-IN-267-SA-0 @000000000000000000000000000000000000 -> 0000010
296-IN-267-SA-1 @000000000000000000000000000000000000 -> 0000000
296-IN-270-SA-0 @000000000000000000000000000000000000 -> 0000010
296-IN-270-SA-1 @000000000000000000000000000000000000 -> 0000000
296-IN-273-SA-0 @000000000000000000000000000000000000 -> 0000010
296-IN-273-SA-1 @000000000000000000000000000000000000 -> 0000000
296-IN-276-SA-0 @000000000000000000000000000000000000 -> 0000010
296-IN-276-SA-1 @000000000000000000000000000000000000 -> 0000000
296-IN-279-SA-0 @000000000000000000000000000000000000 -> 0000010
296-IN-279-SA-1 @000000000000000000000000000000000000 -> 0000000
296-IN-282-SA-0 @000000000000000000000000000000000000 -> 0000010
296-IN-282-SA-1 @000000000000000000000000000000000000 -> 0000000
296-IN-285-SA-0 @000000000000000000000000000000000000 -> 0000010
296-IN-285-SA-1 @000000000000000000000000000000000000 -> 0000000
300-SA-0 @000000000000000000000000000000000000 -> 0000000
300-SA-1 @000000000000000000000000000000000000 -> 0000100
300-IN-263-SA-0 @000000000000000000000000000000000000 -> 0000100
300-IN-263-SA-1 @000000000000000000000000000000000000 -> 0000000
301-SA-0 @000000000000000000000000000000000000 -> 0000000
301-SA-1 @000000000000000000000000000000000000 -> 0000100
301-IN-288-SA-0 @000000000000000000000000000000000000 -> 0000100
301-IN-288-SA-1 @000000000000000000000000000000000000 -> 0000000
302-SA-0 @000000000000000000000000000000000000 -> 0000000
302-SA-1 @000000000000000000000000000000000000 -> 0000100
302-IN-289-SA-0 @000000000000000000000000000000000000 -> 0000100
302-IN-289-SA-1 @000000000000000000000000000000000000 -> 0000000
303-SA-0 @000000000000000000000000000000000000 -> 0000000
303-SA-1 @000000000000000000000000000000000000 -> 0000100
303-IN-290-SA-0 @000000000000000000000000000000000000 -> 0000100
303-IN-290-SA-1 @000000000000000000000000000000000000 -> 0000000
304-SA-0 @000000000000000000000000000000000000 -> 0000000
304-SA-1 @000000000000000000000000000000000000 -> 0000100
304-IN-291-SA-0 @000000000000000000000000000000000000 -> 0000100
304-IN-291-SA-1 @000000000000000000000000000000000000 -> 0000000
305-SA-0 @000000000000000000000000000000000000 -> 0000000
305-SA-1 @000000000000000000000000000000000000 -> 0000100
305-IN-292-SA-0 @000000000000000000000000000000000000 -> 0000100
305-IN-292-SA-1 @000000000000000000000000000000000000 -> 0000000
306-SA-0 @000000000000000000000000000000000000 -> 0000000
306-SA-1 @000000000000000000000000000000000000 -> 0000100
306-IN-293-SA-0 @000000000000000000000000000000000000 -> 0000100
306-IN-293-SA-1 @000000000000000000000000000000000000 -> 0000000
307-SA-0 @000000000000000000000000000000000000 -> 0000000
307-SA-1 @000000000000000000000000000000000000 -> 0000100
307-IN-294-SA-0 @000000000000000000000000000000000000 -> 0000100
307-IN-294-SA-1 @000000000000000000000000000000000000 -> 0000000
308-SA-0 @000000000000000000000000000000000000 -> 0000000
308-SA-1 @000000000000000000000000000000000000 -> 0000100
308-IN-295-SA-0 @000000000000000000000000000000000000 -> 0000100
308-IN-295-SA-1 @000000000000000000000000000000000000 -> 0000000
309-SA-0 @000000000000000000000000000000000000 -> 0000000
309-SA-1 @000000000000000000000000000000000000 -> 0000000
309-IN-296-SA-0 @000000000000000000000000000000000000 -> 0000010
309-IN-296-SA-1 @000000000000000000000000000000000000 -> 0000000
319-SA-0 @000000000000000000000000000000000000 -> 0000000
319-SA-1 @000000000000000000000000000000000000 -> 0000000
319-IN-296-SA-0 @000000000000000000000000000000000000 -> 0000010
319-IN-296-SA-1 @000000000000000000000000000000000000 -> 0000000
329-SA-0 @000000000000000000000000000000000000 -> 0000000
